festival_id,filmrank
imdbady00649,0.001203470420641786
imdbady01018,0.0015626047495861466
fest.lib.id.na191,0.04577591160462887
fest.lib.id5532,0.021547307188279588
imdbady01769,0.0013050334962233171
fest.lib.id1168,0.0035872905474984475
fest.lib.id351,0.018235202012596274
fest.lib.id.survey.na681,0.0014122977968438158
fest.lib.id8662,0.0013794228872920386
imdbady01628,0.0020799665238802776
imdbady00177,0.0012997864365508298
imdbady00063,0.0012997864365508298
fest.lib.id1679,0.010151784330751836
imdbady00677,0.0014314894180044002
id129,0.0019423260990422346
fest.lib.id7532,0.02322082709518239
fest.lib.id152,0.007204064856332121
imdbady00474,0.001522023542974639
imdbady00678,0.002288373930990088
fest.lib.id.ch1786,0.19707774754205087
imdbady01071,0.0017281505900661493
imdbady00473,0.0012282785344206275
imdbady01546,0.006064192328871407
imdbady01127,0.00139529536594032
fest.lib.id.survey.na359,0.0015193809527656755
fest.lib.id1632,0.0038724131065502594
imdbady01192,0.0015623212145349141
fest.lib.id.na197,0.010250455340686056
fest.lib.id5844,0.0017498496794717475
imdbady00251,0.0019088107811265544
imdbady01529,0.0012260062203586033
imdbady01747,0.0010830495045830051
fest.lib.id.na437,0.004684177516218746
imdbady00185,0.001619319368370392
fest.lib.id.na466,0.01429958244328424
fest.lib.id7798,0.0019223343671007503
imdbady00542,0.0011987448329478566
fest.lib.id705,0.0018980785992834882
fest.lib.id7546,0.008445061727440382
imdbady01336,0.001210127112318106
imdbady01736,0.001380539440225686
imdbady00778,0.0012959031945047994
imdbady01376,0.001360810373413929
imdbady00116,0.0012161931196576579
imdbady01183,0.0010796272249822614
imdbady00708,0.0030842289529831803
imdbady00112,0.0020077259316430567
fest.lib.id.na480,0.0014404926813621776
fest.lib.id1792,0.0011191232846375855
imdbady00987,0.0011410886219314284
fest.lib.id1668,0.061815450712753774
fest.lib.id827,0.008849038902565196
fest.lib.id.survey.na344,0.004063534665234884
fest.lib.id7773,0.0020876941194417375
id298,0.0014122977968438158
