film_id,filmrank,premiere_festival,premiere_year,premiere_festival_filmrank,played_strategic,num_strategic,max_strategic_filmrank,avg_strategic_filmrank,played_top5_festival,played_top10_festival,num_top5_festivals,num_top10_festivals
tffnew1989,0.023002169175702105,fest.lib.id1736,2016,1.0,0,0,0,0,1,1,1,2
f9209,0.0790663325451995,fest.lib.id285,2015,0.39801347663094955,0,0,0,0,1,1,2,3
1463,0.01308467270865446,fest.lib.id1736,2013,1.0,0,0,0,0,1,1,1,1
tffnew398,0.03697006297477198,fest.lib.id1736,2012,1.0,0,0,0,0,1,1,1,1
tffnew1228,0.035644837356721325,fest.lib.id1736,2014,1.0,0,0,0,0,1,1,1,3
tffnew2282,0.052800048677611816,fest.lib.id1808,2016,0.1145501607898263,0,0,0,0,1,1,1,2
I1203152,0.019089700139377934,fest.lib.id1329,2011,0.007273065087468569,0,0,0,0,0,0,0,0
tffnew2466,0.017346985518842742,fest.lib.id1736,2017,1.0,0,0,0,0,1,1,1,2
idfnew1857,0.046641709041587924,fest.lib.id874,2017,0.5062687909078113,0,0,0,0,1,1,1,2
673,0.0187995605080656,fest.lib.id1662,2013,0.015146563673507158,0,0,0,0,1,1,1,1
tffnew15,0.0121359000619224,fest.lib.id1577,2011,0.033539337390164,0,0,0,0,1,1,1,1
f8075,0.04761313053535186,fest.lib.id1888,2017,0.9014664491525963,0,0,0,0,1,1,1,1
tffnew1692,0.013189879676205071,fest.lib.id1736,2015,1.0,0,0,0,0,1,1,2,2
idfnew438,0.00995575178972834,fest.lib.id874,2012,0.5062687909078113,0,0,0,0,1,1,1,1
tffnew2165,0.02808502805837857,fest.lib.id1697,2016,0.05210166239461778,0,0,0,0,1,1,1,1
9432fnosuv,0.015077131127448417,fest.lib.id285,2016,0.39801347663094955,0,0,0,0,1,1,1,1
I1203389,0.03507309568625284,fest.lib.id.ch1786,2011,0.19707774754205087,0,0,0,0,1,1,1,2
idfnew1810,0.01763909128911186,fest.lib.id874,2017,0.5062687909078113,0,0,0,0,1,1,1,1
9125fnosuv,0.028811724598163918,fest.lib.id285,2012,0.39801347663094955,0,0,0,0,1,1,1,2
frnew191,0.00915709909838239,fest.lib.id7533,2013,0.021585276270757407,0,0,0,0,0,0,0,0
frnew786,0.07942240529943531,fest.lib.id365,2015,0.0812771382038422,0,0,0,0,0,1,0,1
N1500646,0.03611966875730503,fest.lib.id285,2014,0.39801347663094955,0,0,0,0,1,1,2,2
tffnew2,0.016496909742629472,fest.lib.id1736,2011,1.0,0,0,0,0,1,1,1,2
tffnew2647,0.07106696459529246,fest.lib.id285,2017,0.39801347663094955,0,0,0,0,1,1,2,4
67,0.04481497616782644,fest.lib.id1888,2013,0.9014664491525963,0,0,0,0,1,1,1,3
tffnew2129,0.03973426642283026,fest.lib.id1736,2016,1.0,0,0,0,0,1,1,1,2
